index,lat,lng,city,country,temp,humidity,cloudiness,windspeed,max_temp
757,60.70062993368083,103.0769093211004,vanavara,ru,-2.4,99,70,4.85,-2.4
760,65.50695950950757,91.71509700861947,svetlogorsk,ru,33.8,82,90,8.95,33.8
761,-30.691384469484433,130.7389367937178,flinders,au,75.07,73,90,5.82,81.0
764,-30.286963562717666,137.2201171402694,port augusta,au,76.48,73,0,13.87,84.99
772,-6.499558019973293,123.3254559729358,katobu,id,82.15,85,15,2.08,82.15
774,19.67260677767534,70.42283862654551,kodinar,in,62.24,48,0,6.49,62.24
778,-31.306930713434674,115.74892728723222,perth,au,77.77,50,6,11.41,82.0
779,26.894886491865577,43.354816102070885,buraydah,sa,37.4,93,0,3.36,37.4
782,-13.923643916930999,53.371469419008264,sambava,mg,69.66,97,88,2.21,69.66
785,-19.689695977149483,45.24713849291163,miandrivazo,mg,75.52,90,88,2.95,75.52
786,44.771576003492015,-14.857466829532967,muros,es,54.03,93,75,19.46,57.99
787,50.73291784369957,31.667221285827395,kobyzhcha,ua,32.0,86,90,6.71,33.8
795,-34.090013691006135,-72.78055319016933,san antonio,cl,68.92,93,75,5.82,77.0
798,40.113827132907915,-98.93566968624012,kearney,us,46.53,75,1,4.09,48.2
799,73.1134749710298,-11.328572120297395,husavik,is,21.2,92,100,19.46,21.2
812,26.793258565660736,-110.15117849093383,etchoropo,mx,75.31,59,0,7.0,75.0
813,-41.47670890296307,-98.72792552292113,ancud,cl,64.4,63,20,5.82,64.4
818,59.83001371140668,30.13943274717417,annino,ru,29.17,79,75,11.18,28.4
820,14.079612602276967,153.09569318809076,kavieng,pg,83.73,73,16,6.08,83.73
824,34.773616665497826,114.53338340045781,kaifeng,cn,33.8,69,89,4.47,33.8
825,14.81466672558939,-31.25362421070193,porto novo,cv,69.8,83,40,17.22,69.8
826,-28.505341355453112,164.67129182837886,vao,nc,78.04,83,100,14.67,78.04
829,-33.342899863625796,20.588343803815917,swellendam,za,57.2,71,24,5.82,57.2
830,57.031350690490854,0.9555496716461676,boddam,gb,31.62,77,80,8.05,33.01
835,11.886244716119194,39.249649897852464,lalibela,et,51.55,31,13,1.77,51.55
836,-28.930839134599367,19.01464331427468,warmbad,na,54.55,45,0,6.76,54.55
839,81.63293792130946,25.85741870776431,honningsvag,no,21.79,85,75,9.17,19.4
840,65.6607515554482,129.18036846752204,sangar,ru,-17.72,70,99,14.85,-17.72
842,55.61391470627092,107.4734117932893,magistralnyy,ru,11.91,90,76,3.15,11.91
843,66.3496846639008,-25.92109039051067,olafsvik,is,33.17,89,100,15.84,33.17
844,37.50469355133629,141.03465685232038,namie,jp,31.8,64,75,5.82,37.99
845,53.76369717741926,97.76263646503844,nizhneudinsk,ru,13.08,95,73,3.53,13.08
847,41.02605551013241,95.6260957447962,yumen,cn,16.18,63,59,8.79,16.18
